,product_brand,product_image_links,product_name
0,True Humboldt,https://ddd33q3967xhi.cloudfront.net/Nfnh_JRc3z7X7v57Opcus5EgUOc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpGNQ4Z1DfWe5NdUiOit0ugS4L10%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRBXwuWRQQtWuQCp6e5LJ_AA-%2bgorilla%2bglue.jpg,GG (f.k.a. Gorilla Glue)
1,GG Strains LLC,https://ddd33q3967xhi.cloudfront.net/YGZhU3fiLcEt51KAyifXR5Jm9mw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvSY7OH3BmdrYEt8PjRCWHoQ3NTA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f483sVQMHTuyaY1Ww8kLJ_screenshot-www.instagram.com%2b2016-09-01%2b12-18-14.png,GG5 (fka Gorilla Glue 5) / New Glue
2,Marley Natural,https://ddd33q3967xhi.cloudfront.net/1P0dBR0vwXxK3hcP4jRQ9slm4ug=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fT7r5t-ljP-gvvZONZnRytIVKkPM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fDhP1JDPTEe3l4XivJxpp,Marley Black™: Indica
3,Dutchy,https://ddd33q3967xhi.cloudfront.net/zHOnHGVoab8XT48w81xEYgc4M2c=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fADnsLrhoZ8luI6LZx0LBxtB3etA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fGGZzS44Rp6QJs7w5TASv_dutchy-12g.jpg,Dutchy Flower
4,7 Points Oregon,https://ddd33q3967xhi.cloudfront.net/PZVc0TR3snvZkAKyGpuEizQV9eE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f8rz00wTE6kz00cgiwOmlFL4fZaw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fm8J8vv3cTtavwB12v1Pc_cherry.jpg,Cherry Pie
5,Yerba Buena,https://ddd33q3967xhi.cloudfront.net/yjA3O7XPsr01cB1g99qed7wpo5Y=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fH9h8lLkF3gHl5CXTOzBxh8fy8Os%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faK46HLtRNavazWw2XleL_blue%2bdragon.jpg,Blue Dragon Desert Frost
6,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/OeD0LS5cx7xDiBdmj0CvZQPz-sc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGRj7Vs0pp3r858f9BLcMdQsDj64%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fWtiEB8OqTH6qhawgeHSb_OGK.jpg,OG Kush
7,Royal Tree Gardens,https://ddd33q3967xhi.cloudfront.net/9lWiooG4QdXPnXQgdPugUPyxSKM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fI99JDvcRr6IJlI24FokGpoaPeu4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f5p3lmeqsSZiHsb8fhNxl_sherbet.jpg,Sherbet
8,Pioneer Nuggets,https://ddd33q3967xhi.cloudfront.net/hOjCHpxMGNGvqirBvetl0Oy-0QQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fW5vhbgdHSMRdyIbSB8nSIcOy9S0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZscQCn5vToaRv7qPnmbC_ww_flower.jpg,White Widow
9,Royal Tree Gardens,https://ddd33q3967xhi.cloudfront.net/ZwbdzjhTBqANtFOWgiMik5W53iY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZLaZcKK7YIhiw7cbDg-DxoTZkQU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fi2DGlcbqQraKEY4fU5PB_chocolope.jpg,Chocolope
10,Flow Kana,https://ddd33q3967xhi.cloudfront.net/ywTOOYqZDcIxTpY9BSnxHiDMfX0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fbDrM0h0YRXeDD4-tv08n1rBAQGw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f6dOUAYnoTGAWaypbdsC3_TAHOE%2bOG.jpg,Tahoe OG 
11,GG Strains LLC,https://ddd33q3967xhi.cloudfront.net/6XfGc3Nt0rEzNE6S21rQhrqoQpo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fNneLreqcF_jsQrRQZob9Sps_E1k%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f9UHGaHfMSenKudmu4Qr0_01bcfaf45443d3c6a1bdf4150c0eb15b3afa2ef9b2.jpg,GG4 (fka Gorilla Glue #4) / Original Glue
12,Double Dutch Farms,https://ddd33q3967xhi.cloudfront.net/FHz7-MJzx_tDecEcLBfVCjZBlo8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fOp0P7szCJsKanzKj0mUXIsRuVZE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fKvfAMtSOQESC1zllMvYv_greencrack.png,Green Crack
13,Headlight,https://ddd33q3967xhi.cloudfront.net/57jdp7LXE6mS03v26ARK2Gjf9ig=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fQt5V2P407LoMgpKu07PaG2HYIHE%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f71mId8GhT8aabBUuGRv5_headlight.jpg,Headlight Flower
14,Marley Natural,https://ddd33q3967xhi.cloudfront.net/oka1MBytGjZt5vuISNbEQBsUW7Y=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ff1stZpJMF1sGXKALKU6wYHOUzZQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fbeqTwqPlR1qhDiMm6frs,Marley Red™: CBD-Rich
15,Glory Daze Botanicals,https://ddd33q3967xhi.cloudfront.net/KH_2x6YO_cs-jsFxIJG--WRcAYg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fvapBcs5RrIp34p4f2l9dgXo843c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f4hP5YFEiRvGc9RTtQDHP_IMG_20171007_125641_282.jpg,Messiah OG 
