1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Skywalker OG,https://ddd33q3967xhi.cloudfront.net/D2Ki-CfTDhgQmlK-YR9ovcdLgDE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fXXOlT7ehS0vC_tsz2HORkZiVCcc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faeEUdzhlS4eo4Ppbqm2c_Tilray-SquareT300Bag.jpg,An indica-dominant hybrid cross between Skywalker and OG Kush.,"An indica-dominant hybrid cross between Skywalker and OG Kush.
Top terpenes include Limonene, Caryophyllene and Bisabolol.",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
Sour Kush,https://ddd33q3967xhi.cloudfront.net/XUHyVtWdHoeeFZzNTIbwjtEl_oo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f3AC92BiMENLN82ccfr_EZ45YrK4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fefqgNzBSSe2J2naRFmja_sour%2bkush.jpg,"A strain that is perfect for day time use, while maintaining its indica body effects.","Sour Diesel x OG Kush - (SDH) - Coming from two well-known strains this plant is sativa dominant and perfect for day time use, while maintaining its indica body effects. The smell is complex and resembles that of sour/sweet and earthy skunk.",Royal Tree Gardens,"It all started in the Summer of 2013 with an idea and a dream. 

With the passing of Initiative 502 in the fall of 2013 came the realization that opportunity was at hand. Having had experience growing for the medical side of the industry and a true passion for the plant, Max, Ryan and Spencer came together and founded what is now Royal Tree Gardens.

In March 2014, without the certainty of being licensed by the state, we apprehensively signed a lease on a warehouse in Tacoma, WA, where together, over the next 7 months, we designed and built-out the warehouse from the ground up. Through countless hours of hard work and dedication, we were able to complete the majority of the build-out ourselves while concurrently developing a brand-centric business plan with a focus and commitment to quality. Starting with a blank canvas allowed us to combine our knowledge of the cannabis growing environment and design a truly top tier facility for our plants.

In December 2014, after countless obstacles and setbacks, and applicable permits in hand, we finally received our license from the Washington State Liquor Control Board and were given the go ahead to begin producing cannabis.

More recently, after months of unconditional labor, we have welcomed on Judd as a part of the ownership. Charlie, a Master Grower and brother of Co-Founder Max, has also been added as a part of the ownership team and brings invaluable experience and work ethic.

Presently, the team here at Royal Tree Gardens is working extremely hard to produce the highest quality cannabis for the recreational market here in Washington. We feel privileged to be working with so many close friends and are excited share with you our passion for the plant!"
Sour Tangie,https://ddd33q3967xhi.cloudfront.net/TeePa12RbgomaOYsKN4NLaz55sg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ffSNHp6aGFtlYhwtjucGwD8Qf3Uo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZow3FDZlSbyr0RX1tQ1P_Sour%2btangie%2bGH.JPG,East Coast Sour Diesel x Tangie,"Sour Tangie is a magical fusion of old and new marijuana genetics that come together to create something really special. This sativa-dominant strain is derived from old school favourite East Coast Sour Diesel (ECSD) which is pollinated with a cut of the (relatively) new school, Tangie. The resulting strain is a triumph in every sense.  The smell of fresh orange zest will overpower your nose as you enter a room or crack open a jar of flower.  This is a strain everyone should experience.",Fox Hollow Flora,"The purpose of Fox Hollow Flora is to help humanity recover our inherited connection with cannabis by providing the world with flowers of utmost quality and products that represent our highest integrity.  Our motivation is forged by the hard truth that you will always get out exactly what you put in.  Our country is depending on us to set a standard for Pacific Northwest cannabis that will be unmatched by any other region in the world.  We accept this honor to represent the great state of Oregon in this special moment of our nation’s history. We will never take it for granted.

Core values at Fox Hollow Flora:

1.	Respect: Consideration for Humanity and the Earth.
2.	Integrity: Sincere in our decisions and Actions.
3.	Family and Community: We all have a Stack in this Together.
4.	Innovation: We will never limit ourselves to the Present."
Super Silver Haze,https://ddd33q3967xhi.cloudfront.net/-I7V2Ti3sbB_FVpJVtR9MpruajQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fXxapptKIMxhwLvR_uf3IgmUE1xk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f2D2Dss8ySCC3Jg5AIgDN_supersilverhaze.png,An iconic sativa bursting with mouthwatering lemon zest and spice flavors.,"Citrus scents and aromas can be found in many cannabis strains, but arguably none more so than Super Silver Haze.  A multiple time Cannabis Cup winner, the strain shows off some of the most robust citrus and spice flavor on the market.  Super Silver Haze is truly a sativa of legendary proportion.",Double Dutch Farms,"We are two Dutch Brothers committed to setting an ethical, responsible example through research and advocacy in an effort to challenge the antiquated status quo of cannabis and its effects.
 
We are dedicated to building mutually-sustainable relationships between producers, stores, and communities in order to further the love, generosity, and acceptance that is the culture of cannabis.
 
Together, let’s move cannabis forward."
TITAN OG,https://ddd33q3967xhi.cloudfront.net/sKTBb9834bqAD0sAFHW0K_B1bV0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f4WT-VV2P2l5xcDTvFvHyA2gb7Kg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fbcXQNNNGR52aZ6zgh0tP_flowertin-text_titan.jpg,TITAN OG (22% THC),"The crown jewel of the Northern Emerald family, the TITAN OG is our most potently luxurious Indica-dominant strain. A dense lime green bud with orange hairs and white frosted crystals, the strain has the smell and essence of earthy pine with relaxing properties strong enough to handle insomnia/anxiety or just deeply soothing nighttime vibes.
For the serious connoisseur, TITAN OG stands out.",Northern Emeralds,"Northern Emeralds is the premier cannabis brand to emerge from the Emerald Triangle, America’s original home of boutique flower.  We combine distinct heirloom genetics with a  proprietary, innovative cultivation process perfected over decades.  We offer our partners a product of unparalleled quality, consistent from batch to batch, supplied with impeccable reliability.  We take pride in our rapid sell-through rate and growing recognition among connoisseurs.  We passionately believe responsible cannabis consumption is a benefit to the health and wellness of our community, and we are committed to setting the standard for excellence as our industry evolves.  We are in relentless pursuit of the cannabis plant’s  true potential and are proud to be a lead producer of California’s newest craft crop."
3C Bermuda OG,https://ddd33q3967xhi.cloudfront.net/cAZYXQescAlSnCKZS3HimxfoqxU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fIfy7buJieYaKoppAJ6isiV9JciQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRc8fvFEmT9isHG6G8ApC_burmuda.jpg,OG Dominant hybrid with big pastel green cholas and the smell and flavor of a sweet OG. Exceptional for its anti-inflammatory benefits.,"OG Dominant hybrid with big pastel green cholas and the smell and flavor of a sweet OG. Exceptional for its anti-inflammatory benefits. New strain from the geneticists at 3C Farms
flavors: piney, earthy, berry",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Casey Jones,https://ddd33q3967xhi.cloudfront.net/TxVe_nlls3e4QtvrDcbsV-ycyI4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fjx9MXMzW0Ilswbo9KdcRQjRhwE8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdTJT1sagQzU1qN1VvPB3_casey%2bjones.jpg,"One feels the high immediately behind the eyes, melting into the rest of one’s cerebellum illuminating thoughts with new perspectives.","Only a few classic cannabis strains have lasted the test of time, 3C Casey Jones is a wonderful exception. This sativa dominant hybrid has been the choice of sativa fanatics since its emergence many years ago. Its genetics have been the subject of some controversy, however our 3C Casey Jones is a masterful combination of Purple Thai, Trainwreck and East Coast Sour Diesel. CJ’s flowers are some of the most distinctive, with tightly stacked towers of lime green calyxes, heavily dusted with kief. The nose is greeted with a sinus-clearing aroma of citrus and with an afterthought of sweet musk. One feels the high immediately behind the eyes, melting into the rest of one’s cerebellum illuminating thoughts with new perspectives. 3C Casey Jones is excellent for any medical condition that can benefit from an uplifted mental and emotional state.",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Chardonnay,https://ddd33q3967xhi.cloudfront.net/QuvcIHCrtp1NtmK2azRbwfBqbss=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fqzKlS0VcljjThOAGVRMN-2WT6P8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fwPfeUIg4QJCBf4xyheq2_chardonnay.jpg,Exceptionally flavorful indica dominant hybrid. Insanely frosty purple buds encapsulate a sweet wine flavor.,"Exceptionally flavorful indica dominant hybrid. Insanely frosty purple buds encapsulate a sweet wine flavor. New strain from the geneticists at 3C Farms
flavors: earthy, wine, flowery",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Lime Sherbert,https://ddd33q3967xhi.cloudfront.net/7Pen8vnvucj7kzb9mM5t460z_sY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f3NewYZfbvIn927NcWZjBpgnTWok%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fL1oSF3ySjSm3RUqeWBUZ_Lemon%2bLime%2bCulture.jpg,Fruity and flavorful sativa with a focusing head high and a peaceful body high. Truly tastes and smells like fresh lime.,Fruity and flavorful sativa with a focusing head high and a peaceful body high. Truly tastes and smells like fresh lime. New strain from the geneticists at 3C Farms. Its namesake derives from its citrus cream qualities.,3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
3C Poseidon OG,https://ddd33q3967xhi.cloudfront.net/wWtksFaLYq4au1-t9Z1pnVgLKZw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fGZ08gj5OXTGRPXzdWjYk3CDeYMA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fyDF5qphqTuqnUFnSWl7m_posiden.jpg,"Very Indica dominant hybrid, with beautiful violet and green cholas covered in trichomes. An exceptionally heavy OG hybrid.","Very Indica dominant hybrid, with beautiful violet and green cholas covered in trichomes. An exceptionally heavy OG hybrid. New strain from the geneticists at 3C Farms
flavors: piney, earthy, berry",3C Farms,"Californias resource for the highest quality medicinal cannabis in the industry. Helping people through cannabis is our passion, and every aspect of our collective works towards providing the best possible Premium cannabis to our patients."
